,Date,Close,High,Low,Open,Volume,EMA_9,EMA_21,Signal,Position,CumulativeProfit
0,2024-01-02,16720.0,17038.5,16622.5,17019.0,652714.0,16720.0,16720.0,0.0,,0.0
1,2024-01-03,16538.0,16737.25,16522.0,16736.75,677219.0,16683.6,16703.454545454544,0.0,0.0,0.0
2,2024-01-04,16445.0,16587.25,16436.0,16545.25,559464.0,16635.879999999997,16679.95867768595,0.0,0.0,0.0
3,2024-01-05,16460.25,16577.25,16334.25,16455.0,627475.0,16600.753999999997,16659.98516153268,0.0,0.0,0.0
4,2024-01-08,16803.75,16811.25,16378.25,16470.0,549900.0,16641.353199999998,16673.054692302438,0.0,0.0,0.0
5,2024-01-09,16830.25,16868.5,16657.75,16788.0,605921.0,16679.13256,16687.3451748204,0.0,0.0,0.0
6,2024-01-10,16945.25,16983.0,16801.5,16829.5,550703.0,16732.356047999998,16710.791068018545,0.0,0.0,0.0
7,2024-01-11,16966.25,17057.0,16753.0,16955.0,756441.0,16779.1348384,16734.014607289584,0.0,0.0,0.0
8,2024-01-12,16969.25,17042.5,16866.5,16957.75,593445.0,16817.157870720002,16755.39964299053,0.0,0.0,0.0
9,2024-01-16,16966.5,17033.75,16811.75,16961.75,816021.0,16847.026296576,16774.590584536847,1.0,1.0,0.0
10,2024-01-17,16869.75,16982.0,16689.25,16978.0,722784.0,16851.5710372608,16783.241440488044,1.0,0.0,0.0
11,2024-01-18,17110.0,17125.75,16834.25,16854.5,852229.0,16903.25682980864,16812.94676408004,1.0,0.0,0.0
12,2024-01-19,17438.5,17471.25,17107.25,17116.0,758132.0,17010.305463846915,16869.815240072763,1.0,0.0,0.0
13,2024-01-22,17458.5,17585.0,17434.0,17466.0,637245.0,17099.944371077534,16923.332036429783,1.0,0.0,0.0
14,2024-01-23,17531.25,17558.25,17409.5,17461.0,508078.0,17186.20549686203,16978.59730584526,1.0,0.0,0.0
15,2024-01-24,17621.0,17793.5,17552.25,17554.0,721605.0,17273.164397489625,17036.997550768418,1.0,0.0,0.0
16,2024-01-25,17634.5,17752.0,17542.0,17614.75,710822.0,17345.431517991703,17091.315955244016,1.0,0.0,0.0
17,2024-01-26,17527.0,17632.0,17466.0,17571.25,631481.0,17381.745214393362,17130.923595676377,1.0,0.0,0.0
18,2024-01-29,17706.0,17716.25,17457.5,17502.0,568739.0,17446.59617151469,17183.203268796704,1.0,0.0,0.0
19,2024-01-30,17588.5,17735.75,17467.0,17711.75,554146.0,17474.976937211755,17220.048426178822,1.0,0.0,0.0
20,2024-01-31,17242.25,17484.0,17221.5,17415.5,816119.0,17428.431549769404,17222.066751071656,1.0,0.0,0.0
21,2024-02-01,17436.75,17646.75,17262.75,17273.25,705238.0,17430.095239815524,17241.58341006514,1.0,0.0,0.0
22,2024-02-02,17732.75,17775.5,17465.5,17588.0,761167.0,17490.62619185242,17286.234918241036,1.0,0.0,0.0
23,2024-02-05,17700.0,17745.5,17554.25,17696.0,621645.0,17532.50095348194,17323.84992567367,1.0,0.0,0.0
24,2024-02-06,17660.0,17769.0,17560.75,17698.5,623168.0,17558.000762785552,17354.409023339696,1.0,0.0,0.0
25,2024-02-07,17841.75,17875.5,17629.75,17645.75,613340.0,17614.750610228442,17398.712748490634,1.0,0.0,0.0
26,2024-02-08,17868.25,17896.5,17792.25,17856.25,471370.0,17665.450488182756,17441.397953173302,1.0,0.0,0.0
27,2024-02-09,18039.25,18071.0,17852.25,17854.25,499282.0,17740.210390546206,17495.748139248455,1.0,0.0,0.0
28,2024-02-12,17965.0,18121.5,17911.25,18040.0,538132.0,17785.168312436967,17538.407399316777,1.0,0.0,0.0
29,2024-02-13,17676.75,17963.25,17542.0,17928.5,858230.0,17763.484649949576,17550.98399937889,1.0,0.0,0.0
30,2024-02-14,17881.0,17887.0,17669.25,17703.0,688088.0,17786.987719959663,17580.985453980808,1.0,0.0,0.0
31,2024-02-15,17912.75,17968.25,17780.5,17870.0,657768.0,17812.140175967732,17611.14586725528,1.0,0.0,0.0
32,2024-02-16,17744.0,18026.0,17715.0,17952.0,744628.0,17798.512140774186,17623.22351568662,1.0,0.0,0.0
33,2024-02-20,17607.25,17807.5,17452.5,17729.25,889292.0,17760.25971261935,17621.771377896926,1.0,0.0,0.0
34,2024-02-21,17536.75,17723.0,17372.75,17573.0,731450.0,17715.557770095482,17614.04216172448,1.0,0.0,0.0
35,2024-02-22,18047.5,18087.0,17676.0,17702.5,759232.0,17781.946216076387,17653.447419749526,1.0,0.0,0.0
36,2024-02-23,17991.0,18144.75,17946.0,18023.25,659725.0,17823.75697286111,17684.134017954115,1.0,0.0,0.0
37,2024-02-26,17977.0,18059.5,17922.0,17961.5,526169.0,17854.40557828889,17710.758198140105,1.0,0.0,0.0
38,2024-02-27,18021.0,18040.25,17908.75,17951.0,567818.0,17887.72446263111,17738.961998309187,1.0,0.0,0.0
39,2024-02-28,17915.25,18019.75,17846.25,18017.5,553731.0,17893.22957010489,17754.988180281078,1.0,0.0,0.0
40,2024-02-29,18082.75,18109.5,17826.0,17870.0,680147.0,17931.13365608391,17784.784709346433,1.0,0.0,0.0
41,2024-03-01,18338.25,18372.75,18029.5,18075.0,639153.0,18012.55692486713,17835.099735769483,1.0,0.0,0.0
42,2024-03-04,18262.0,18377.75,18234.25,18336.0,569342.0,18062.445539893703,17873.908850699532,1.0,0.0,0.0
43,2024-03-05,17930.25,18252.0,17832.5,18246.0,803857.0,18036.006431914964,17879.03077336321,1.0,0.0,0.0
44,2024-03-06,18044.25,18174.25,17942.5,17981.0,806131.0,18037.65514553197,17894.050703057463,1.0,0.0,0.0
45,2024-03-07,18316.25,18360.0,17915.75,18041.0,758499.0,18093.374116425577,17932.432457324965,1.0,0.0,0.0
46,2024-03-08,18046.75,18436.5,18012.5,18279.0,1048847.0,18084.049293140462,17942.824961204515,1.0,0.0,0.0
47,2024-03-11,17971.0,18068.25,17890.5,18056.0,472517.0,18061.43943451237,17945.386328367742,1.0,0.0,0.0
48,2024-03-12,18227.75,18241.75,17930.0,18010.5,281274.0,18094.701547609897,17971.05575306158,1.0,0.0,0.0
49,2024-03-13,18078.5,18256.5,18033.25,18218.0,179714.0,18091.46123808792,17980.823411874164,1.0,0.0,0.0
50,2024-03-14,18024.5,18177.75,17915.5,18094.25,110277.0,18078.068990470336,17984.794010794692,1.0,0.0,0.0
51,2024-03-15,17854.75,18074.75,17831.75,18006.0,705711.0,18033.40519237627,17972.971827995174,1.0,0.0,0.0
52,2024-03-18,18231.5,18381.0,18062.25,18073.5,656629.0,18073.024153901017,17996.47438908652,1.0,0.0,0.0
53,2024-03-19,18270.0,18289.25,18053.25,18222.0,660394.0,18112.41932312081,18021.34035371502,1.0,0.0,0.0
54,2024-03-20,18479.75,18545.0,18227.5,18274.0,618809.0,18185.88545849665,18063.013957922743,1.0,0.0,0.0
55,2024-03-21,18561.75,18709.0,18526.75,18539.75,606959.0,18261.05836679732,18108.353598111586,1.0,0.0,0.0
56,2024-03-22,18574.75,18626.0,18492.0,18580.5,511962.0,18323.796693437856,18150.75327101053,1.0,0.0,0.0
57,2024-03-25,18513.5,18601.25,18414.75,18567.0,456250.0,18361.737354750287,18183.73024637321,1.0,0.0,0.0
58,2024-03-26,18449.0,18619.0,18439.25,18531.25,516507.0,18379.18988380023,18207.8456785211,1.0,0.0,0.0
59,2024-03-27,18503.75,18571.75,18378.5,18477.5,605634.0,18404.101907040185,18234.74607138282,1.0,0.0,0.0
60,2024-03-28,18475.0,18538.75,18447.5,18505.0,515193.0,18418.28152563215,18256.587337620746,1.0,0.0,0.0
61,2024-04-01,18497.25,18612.0,18414.5,18503.0,572133.0,18434.07522050572,18278.4657614734,1.0,0.0,0.0
62,2024-04-02,18330.0,18511.0,18201.5,18497.25,618982.0,18413.260176404576,18283.150692248542,1.0,0.0,0.0
63,2024-04-03,18373.25,18451.75,18232.5,18345.0,597987.0,18405.25814112366,18291.34153840777,1.0,0.0,0.0
64,2024-04-04,18076.75,18568.0,18055.25,18388.5,777140.0,18339.55651289893,18271.833216734336,1.0,0.0,0.0
65,2024-04-05,18300.75,18408.25,18051.5,18086.25,809193.0,18331.795210319146,18274.46201521303,1.0,0.0,0.0
66,2024-04-08,18295.0,18376.0,18237.5,18348.25,524203.0,18324.43616825532,18276.32910473912,1.0,0.0,0.0
67,2024-04-09,18359.75,18407.25,18160.75,18314.75,696069.0,18331.498934604253,18283.912822490103,1.0,0.0,0.0
68,2024-04-10,18196.75,18474.25,18053.5,18381.0,880504.0,18304.549147683403,18275.988929536456,1.0,0.0,0.0
69,2024-04-11,18485.0,18518.75,18088.0,18184.0,728802.0,18340.63931814672,18294.98993594223,1.0,0.0,0.0
70,2024-04-12,18179.25,18507.75,18120.25,18486.25,787334.0,18308.361454517377,18284.468123583847,1.0,0.0,0.0
71,2024-04-15,17876.25,18350.75,17841.5,18151.0,797316.0,18221.939163613904,18247.357385076222,0.0,-1.0,909.75
72,2024-04-16,17881.25,17988.0,17792.0,17879.0,766364.0,18153.801330891125,18214.07489552384,0.0,0.0,909.75
73,2024-04-17,17658.5,17968.5,17615.25,17897.0,844749.0,18054.7410647129,18163.56808683985,0.0,0.0,909.75
74,2024-04-18,17547.25,17770.75,17506.25,17669.75,756158.0,17953.24285177032,18107.539169854404,0.0,0.0,909.75
75,2024-04-19,17180.75,17553.25,17113.25,17530.75,1023135.0,17798.744281416257,18023.285608958548,0.0,0.0,909.75
76,2024-04-22,17350.0,17448.0,17148.5,17228.25,646130.0,17708.995425133005,17962.077826325953,0.0,0.0,909.75
77,2024-04-23,17606.75,17666.0,17286.25,17352.25,601826.0,17688.546340106404,17929.77529665996,0.0,0.0,909.75
78,2024-04-24,17664.5,17795.5,17481.75,17682.0,667402.0,17683.737072085125,17905.659360599962,0.0,0.0,909.75
79,2024-04-25,17567.5,17827.5,17308.25,17450.0,820011.0,17660.4896576681,17874.91760054542,0.0,0.0,909.75
80,2024-04-26,17845.75,17901.5,17668.25,17808.25,628227.0,17697.54172613448,17872.266000495838,0.0,0.0,909.75
81,2024-04-29,17904.25,17949.0,17791.25,17864.75,528891.0,17738.883380907588,17875.173636814397,0.0,0.0,909.75
82,2024-04-30,17571.25,17920.25,17473.5,17918.5,677704.0,17705.356704726073,17847.544215285816,0.0,0.0,909.75
