Date,Price,Change %
10/1/2021,"4,605.38",6.91%
9/1/2021,"4,307.54",-4.76%
8/1/2021,"4,522.68",2.90%
7/1/2021,"4,395.26",2.27%
6/1/2021,"4,297.50",2.22%
5/1/2021,"4,204.11",0.55%
4/1/2021,"4,181.17",5.24%
3/1/2021,"3,972.89",4.24%
2/1/2021,"3,811.15",2.61%
1/1/2021,"3,714.24",-1.11%
12/1/2020,"3,756.07",3.71%
11/1/2020,"3,621.63",10.75%
10/1/2020,"3,269.96",-2.77%
9/1/2020,"3,363.00",-3.92%
8/1/2020,"3,500.31",7.01%
7/1/2020,"3,271.12",5.51%
6/1/2020,"3,100.29",1.84%
5/1/2020,"3,044.31",4.53%
4/1/2020,"2,912.43",12.68%
3/1/2020,"2,584.59",-12.51%
2/1/2020,"2,954.22",-8.41%
1/1/2020,"3,225.52",-0.16%
12/1/2019,"3,230.78",2.86%
11/1/2019,"3,140.98",3.40%
10/1/2019,"3,037.56",2.04%
9/1/2019,"2,976.74",1.72%
8/1/2019,"2,926.46",-1.81%
7/1/2019,"2,980.38",1.31%
6/1/2019,"2,941.76",6.89%
5/1/2019,"2,752.06",-6.58%
4/1/2019,"2,945.83",3.93%
3/1/2019,"2,834.40",1.79%
2/1/2019,"2,784.49",2.97%
1/1/2019,"2,704.10",7.87%
12/1/2018,"2,506.85",-9.18%
11/1/2018,"2,760.17",1.79%
10/1/2018,"2,711.74",-6.94%
9/1/2018,"2,913.98",0.43%
8/1/2018,"2,901.52",3.03%
7/1/2018,"2,816.29",3.60%
6/1/2018,"2,718.37",0.48%
5/1/2018,"2,705.27",2.16%
4/1/2018,"2,648.05",0.27%
3/1/2018,"2,640.87",-2.69%
2/1/2018,"2,713.83",-3.89%
1/1/2018,"2,823.81",5.62%
12/1/2017,"2,673.61",0.98%
11/1/2017,"2,647.58",2.81%
10/1/2017,"2,575.26",2.22%
9/1/2017,"2,519.36",1.93%
8/1/2017,"2,471.65",0.05%
7/1/2017,"2,470.30",1.93%
6/1/2017,"2,423.41",0.48%
5/1/2017,"2,411.80",1.16%
